Weekday,Date,Tour,Vorhanden,Welle
Thursday,2023-10-19,006,1,True
Thursday,2023-10-19,019,1,True
Thursday,2023-10-19,027,1,True
Thursday,2023-10-19,022,1,True
Thursday,2023-10-19,010,2,True
Thursday,2023-10-19,013,1,True
Thursday,2023-10-19,018,1,True
Thursday,2023-10-19,012,1,True
Thursday,2023-10-19,017,1,True
Thursday,2023-10-19,030,1,True
Thursday,2023-10-19,014,1,True
Thursday,2023-10-19,024,1,True
Thursday,2023-10-19,031,1,True
Thursday,2023-10-19,033,1,True
Thursday,2023-10-19,016,1,True
Thursday,2023-10-19,009,2,True
Thursday,2023-10-19,023,1,True
Thursday,2023-10-19,029,1,True
Thursday,2023-10-19,002,1,True
Thursday,2023-10-19,032,1,True
Thursday,2023-10-19,015,1,True
Thursday,2023-10-19,001,1,True
Thursday,2023-10-19,021,1,True
Thursday,2023-10-19,004,1,True
Thursday,2023-10-19,007,2,True
Thursday,2023-10-19,008,1,True
Thursday,2023-10-19,026,1,True
Thursday,2023-10-19,020,1,True
Thursday,2023-10-19,005,2,True
Thursday,2023-10-19,028,1,True
Thursday,2023-10-19,003,1,True
Thursday,2023-10-19,011,1,True
Thursday,2023-10-19,034,1,True
Thursday,2023-10-19,025,1,True
Tuesday,2023-10-17,027,1,True
Tuesday,2023-10-17,011,1,True
Tuesday,2023-10-17,026,1,True
Tuesday,2023-10-17,014,1,True
Tuesday,2023-10-17,019,1,True
Tuesday,2023-10-17,006,1,True
Tuesday,2023-10-17,024,1,True
Tuesday,2023-10-17,015,1,True
Tuesday,2023-10-17,016,1,True
Tuesday,2023-10-17,013,1,True
Tuesday,2023-10-17,023,1,True
Tuesday,2023-10-17,029,1,True
Tuesday,2023-10-17,003,1,True
Tuesday,2023-10-17,004,1,True
Tuesday,2023-10-17,001,1,True
Tuesday,2023-10-17,020,1,True
Tuesday,2023-10-17,009,1,True
Tuesday,2023-10-17,022,1,True
Tuesday,2023-10-17,007,1,True
Tuesday,2023-10-17,012,1,True
Tuesday,2023-10-17,017,1,True
Tuesday,2023-10-17,028,1,True
Tuesday,2023-10-17,018,1,True
Tuesday,2023-10-17,005,1,True
Tuesday,2023-10-17,008,1,True
Tuesday,2023-10-17,025,1,True
Tuesday,2023-10-17,002,1,True
Tuesday,2023-10-17,021,1,True
Tuesday,2023-10-17,010,1,True
